iter	Passed	Remaining
0	3	1072
1	6	1005
2	11	1094
3	15	1116
4	19	1149
5	22	1112
6	25	1073
7	29	1079
8	32	1054
9	36	1051
10	39	1032
11	43	1039
12	46	1031
13	51	1045
14	54	1040
15	57	1025
16	61	1027
17	65	1032
18	69	1026
19	72	1008
20	75	999
21	78	996
22	82	994
23	85	985
24	89	980
25	92	974
26	95	966
27	99	962
28	101	952
29	105	945
30	108	941
31	112	938
32	115	934
33	118	924
34	120	913
35	124	909
36	127	908
37	129	893
38	133	890
39	136	885
40	139	883
41	143	880
42	146	875
43	149	869
44	151	860
45	155	860
46	158	854
47	161	848
48	164	843
49	167	838
50	171	836
51	174	831
52	177	826
53	180	823
54	184	819
55	186	812
56	190	813
57	194	811
58	198	811
59	202	809
60	205	806
61	208	801
62	212	798
63	215	794
64	218	791
65	222	790
66	226	788
67	230	785
68	232	780
69	236	775
70	238	769
71	241	765
72	244	758
73	247	754
74	250	751
75	253	746
76	255	739
77	256	731
78	260	727
79	262	723
80	266	720
81	270	718
82	273	715
83	276	710
84	280	708
85	283	706
86	287	704
87	291	702
88	294	697
89	296	692
90	299	688
91	302	684
92	305	678
93	307	674
94	311	671
95	314	668
96	318	666
97	320	659
98	323	657
99	327	654
100	329	649
101	332	645
102	336	642
103	340	640
104	343	637
105	346	633
106	348	627
107	351	625
108	354	621
109	358	619
110	361	616
111	365	614
112	368	610
113	372	607
114	375	604
115	379	601
116	382	597
117	385	593
118	387	590
119	391	586
120	393	582
121	397	579
122	400	576
123	404	574
124	407	570
125	411	568
126	414	565
127	418	561
128	421	559
129	424	555
130	428	552
131	430	548
132	434	545
133	438	542
134	443	542
135	447	539
136	450	535
137	453	532
138	456	528
139	459	524
140	462	521
141	465	517
142	468	513
143	472	511
144	475	508
145	478	504
146	481	500
147	485	498
148	488	495
149	491	491
150	494	487
151	496	483
152	499	479
153	501	475
154	504	471
155	508	469
156	511	465
157	515	462
158	518	459
159	521	455
160	524	452
161	527	449
162	530	445
163	533	442
164	536	438
165	539	435
166	543	432
167	546	429
168	549	426
169	552	422
170	556	419
171	560	416
172	563	413
173	566	410
174	570	407
175	573	404
176	577	401
177	580	397
178	583	394
179	586	390
180	589	387
181	591	383
182	595	380
183	598	377
184	602	374
185	605	370
186	608	367
187	612	365
188	616	362
189	619	358
190	622	355
191	624	351
192	627	347
193	631	344
194	633	341
195	637	338
196	640	335
197	643	331
198	647	328
199	649	324
200	653	321
201	656	318
202	659	315
203	663	312
204	665	308
205	668	305
206	672	301
207	675	298
208	676	294
209	680	291
210	684	288
211	687	285
212	691	282
213	695	279
214	699	276
215	701	272
216	704	269
217	708	266
218	711	263
219	714	259
220	717	256
221	720	253
222	723	249
223	726	246
224	729	243
225	732	239
226	736	236
227	739	233
228	742	230
229	745	227
230	750	224
231	752	220
232	753	216
233	757	213
234	761	210
235	764	207
236	767	204
237	771	200
238	773	197
239	776	194
240	780	191
241	783	187
242	787	184
243	791	181
244	795	178
245	799	175
246	803	172
247	807	169
248	810	166
249	814	162
250	817	159
251	821	156
252	823	153
253	826	149
254	830	146
255	833	143
256	837	140
257	840	136
258	843	133
259	847	130
260	849	126
261	853	123
262	856	120
263	860	117
264	864	114
265	868	110
266	871	107
267	874	104
268	878	101
269	882	98
270	885	94
271	887	91
272	890	88
273	894	84
274	898	81
275	902	78
276	906	75
277	909	71
278	912	68
279	915	65
280	918	62
281	922	58
282	926	55
283	929	52
284	932	49
285	936	45
286	940	42
287	943	39
288	947	36
289	949	32
290	952	29
291	956	26
292	959	22
293	963	19
294	966	16
295	970	13
296	974	9
297	977	6
298	981	3
299	984	0
