t,u
0,19.9593
1.05,19.965
2.099,19.9592
3.114,19.9599
4.114,19.954
5.114,19.9523
6.114,19.9461
7.114,19.9391
8.114,19.9312
9.115,19.9216
10.115,19.9126
11.114,19.9034
12.114,19.8943
13.115,19.8828
14.115,19.8701
15.115,19.8581
16.115,19.8456
17.114,19.8318
18.114,19.8201
19.115,19.809
20.115,19.7963
21.115,19.7819
22.115,19.7693
23.114,19.7565
24.114,19.7416
25.114,19.7287
26.114,19.7153
27.115,19.7021
28.114,19.6892
29.114,19.6745
30.115,19.6604
31.114,19.6465
32.114,19.6312
33.114,19.6172
34.114,19.6038
35.114,19.59
36.114,19.5769
37.115,19.5633
38.115,19.5505
39.114,19.5361
40.114,19.5216
41.114,19.508
42.115,19.4929
43.114,19.4794
44.114,19.4658
45.114,19.4515
46.115,19.4373
47.114,19.4244
48.115,19.4099
49.114,19.3968
50.114,19.3815
51.114,19.3674
52.115,19.3527
53.114,19.3389
54.114,19.3258
55.115,19.3113
56.115,19.2977
57.115,19.2839
58.115,19.2694
59.114,19.255
60.115,19.2417
61.114,19.2291
62.114,19.2139
63.115,19.1992
64.115,19.1845
65.114,19.1713
66.115,19.1566
67.115,19.1439
68.114,19.1295
69.115,19.1159
70.114,19.1008
71.115,19.0868
72.114,19.0717
73.115,19.0571
74.115,19.0428
75.114,19.0291
76.114,19.0145
77.114,18.9991
78.114,18.9858
79.115,18.9698
80.115,18.9561
81.115,18.9411
82.115,18.9269
83.114,18.9113
84.114,18.8978
85.115,18.8832
86.115,18.8695
87.115,18.8554
88.114,18.8412
89.115,18.8276
90.114,18.814
91.115,18.799
92.114,18.7868
93.114,18.7729
94.115,18.7599
95.114,18.746
96.114,18.7324
97.115,18.7198
98.114,18.7067
99.114,18.6935
100.115,18.6786
101.115,18.6662
102.114,18.655
103.115,18.6408
104.114,18.6283
105.115,18.6155
106.115,18.6015
107.114,18.588
108.115,18.5747
109.114,18.5604
110.115,18.5466
111.114,18.5331
112.114,18.5184
113.114,18.5042
114.114,18.4905
115.114,18.4763
116.114,18.4621
117.114,18.448
118.115,18.4348
119.115,18.419
120.114,18.4047
121.115,18.3914
122.114,18.3769
123.115,18.364
124.114,18.3491
125.115,18.3351
126.115,18.3201
127.115,18.3056
128.114,18.292
129.114,18.2779
130.115,18.2642
131.114,18.249
132.115,18.2359
133.114,18.2219
134.114,18.2085
135.114,18.1959
136.114,18.1826
137.115,18.1688
138.115,18.1545
139.115,18.1416
140.114,18.1282
141.114,18.114
142.115,18.0999
143.115,18.0876
144.114,18.0734
145.115,18.0599
146.114,18.0468
147.114,18.0338
148.115,18.0195
149.114,18.007
150.115,17.9923
151.115,17.9792
152.114,17.9657
153.114,17.9519
154.115,17.941
155.115,17.927
156.114,17.9136
157.114,17.8998
158.114,17.8862
159.115,17.8729
160.114,17.8598
161.114,17.8452
162.115,17.8322
163.114,17.8179
164.114,17.8051
165.115,17.7913
166.114,17.7782
167.115,17.7651
168.114,17.7506
169.114,17.7366
170.115,17.7235
171.114,17.7096
172.114,17.6969
173.115,17.6841
174.114,17.6704
175.114,17.6566
176.114,17.6421
177.115,17.6291
178.115,17.6152
179.114,17.6014
180.114,17.5876
181.115,17.5756
182.115,17.5626
183.114,17.5488
184.114,17.5352
185.115,17.5224
186.115,17.5081
187.115,17.495
188.114,17.4818
189.115,17.4685
190.114,17.4554
191.114,17.4424
192.115,17.429
193.114,17.4156
194.114,17.4028
195.115,17.3901
196.114,17.3776
197.114,17.3631
198.115,17.3504
199.114,17.3373
200.114,17.3245
201.115,17.3118
202.114,17.2983
203.115,17.2852
204.114,17.2719
205.114,17.2583
206.115,17.2457
207.115,17.2323
208.114,17.2188
209.114,17.2027
210.115,17.1887
211.115,17.1755
212.114,17.1631
213.115,17.1503
214.115,17.1364
215.114,17.1231
216.115,17.1109
217.115,17.0975
218.114,17.0851
219.114,17.0712
220.115,17.0583
221.114,17.047
222.115,17.0342
223.115,17.0207
224.114,17.0078
225.115,16.9944
226.115,16.9804
227.114,16.9676
228.115,16.9553
229.114,16.9413
230.114,16.9273
231.115,16.9146
232.114,16.9014
233.115,16.8895
234.115,16.8775
235.114,16.8638
236.115,16.8514
237.115,16.8384
238.114,16.8258
239.115,16.8124
240.114,16.7991
241.114,16.7861
242.115,16.7741
243.115,16.7608
244.114,16.748
245.115,16.7366
246.115,16.7238
247.114,16.7117
248.114,16.6992
249.115,16.6869
250.115,16.6744
251.114,16.6625
252.114,16.6512
253.115,16.6397
254.114,16.6271
255.115,16.6153
256.114,16.6023
257.115,16.5903
258.115,16.5786
259.114,16.5656
260.115,16.5552
261.114,16.5435
262.114,16.531
263.115,16.5184
264.115,16.5069
265.114,16.4939
266.114,16.4804
267.115,16.4682
268.114,16.4555
269.114,16.4434
270.114,16.4313
271.114,16.4184
272.114,16.4058
273.115,16.3934
274.115,16.381
275.114,16.3693
276.115,16.3569
277.114,16.3443
278.114,16.3318
279.115,16.3186
280.114,16.3067
281.114,16.2942
282.115,16.28
283.115,16.2681
284.115,16.2558
285.115,16.244
286.114,16.2316
287.114,16.2186
288.115,16.2055
289.115,16.1934
290.115,16.1814
291.114,16.1691
292.114,16.1579
293.115,16.1444
294.114,16.1324
295.114,16.1209
296.115,16.1081
297.115,16.0954
