N,p,t,v,q
13,	25.48,	33.32,	1.00,	3.54
25,	49.00,	39.67,	2.00,	5.94
35,	68.60,	37.98,	2.50,	7.76
45,	88.20,	32.37,	2.50,	9.10
57,	111.72,	37.74,	3.00,	9.37
66,	129.36,	51.09,	5.00,	11.54
74,	145.04,	48.16,	5.00,	12.24
83,	162.68,	45.06,	5.00,	13.08
107,	209.72,	39.87,	5.00,	14.78
119,	233.24,	37.86,	5.00,	15.57
148,	290.08,	34.43,	5.00,	17.12
154,	301.84,	33.83,	5.00,	17.42
168,	329.28,	32.29,	5.00,	18.25
190,	372.40,	30.38,	5.00,	19.40
204,	399.84,	29.37,	5.00,	20.07
217,	425.32,	28.80,	5.00,	20.47
