N,p,t,v,q
17,	33.32,	    52.39,	1.00,	2.25
27,	52.92,	    31.64,	1.00,	3.73
37,	72.52,	    56.02,	2.50,	5.26
42,	82.32,	    47.66,	2.50,	6.18
50,	98.00,	    39.48,	2.50,	7.47
57,	111.72,	    35.27,	2.50,	8.36
61,	119.56,	    32.84,	2.50,	8.97
70,	137.20,	    29.36,	2.50,	10.04
95,	186.20,	    49.37,	5.00,	11.94
123,	241.08,	45.13,	5.00,	13.06
144,	282.24,	42.18,	5.00,	13.97
169,	331.24,	39.50,	5.00,	14.92
185,	362.60,	38.05,	5.00,	15.49
197,	386.12,	36.74,	5.00,	16.04
220,	431.20,	34.52,	5.00,	17.08
247,	484.12,	32.51,	5.00,	18.13
