iter	Accuracy	Logloss
0	0.864978903	0.3088762756
1	0.8523206751	0.3448456972
2	0.8523206751	0.3437142516
3	0.8509142053	0.3459741037
4	0.8551336146	0.3496492311
5	0.8565400844	0.351294791566	0.8537271449	0.351608216577	0.8495077356	0.35845022588	0.8523206751	0.353185125
9	0.8509142053	0.3577343696
10	0.8902953586	0.2837074171
11	0.864978903	0.3287641247
12	0.864978903	0.328154136
13	0.864978903	0.3333424818
14	0.8635724332	0.3388935736
15	0.870604782	0.3390867845
16	0.8607594937	0.3399930562
17	0.8593530239	0.3460520207
18	0.8579465541	0.3439750534
19	0.8621659634	0.3449356065
20	0.9127988748	0.2673567898
21	0.8776371308	0.3159877429
22	0.8776371308	0.3171925388
23	0.8734177215	0.3230072294
24	0.8734177215	0.326932389
25	0.876230661	0.3303480711
26	0.8734177215	0.328602424
27	0.8691983122	0.3356951755
28	0.8663853727	0.3352470193
29	0.8720112518	0.3367221729
30	0.9184247539	0.2567437896
31	0.8945147679	0.3004687228
32	0.8902953586	0.3056040008
33	0.8818565401	0.3113463667
34	0.8846694796	0.3146082841
35	0.8818565401	0.3205986408
36	0.8846694796	0.3155381796
37	0.8734177215	0.3277626265
38	0.8804500703	0.3247778414
39	0.8888888889	0.3252573574
40	0.9212376934	0.243396525
41	0.8945147679	0.2880530964
42	0.8888888889	0.2998737235
43	0.8987341772	0.2984908435
44	0.8902953586	0.3084968104
45	0.876230661	0.3118134942446	0.8832630098	0.3098343456447	0.8832630098	0.30848	0.8748	0.8917018284	0.309149	0.8749	0.8860759494	0.3164049176
4
00786
