iter	Passed	Remaining
0	1002	49127
1	2004	48102
2	3117	48844
3	4030	46356
4	4957	44618
5	5993	43954
6	7059	43366
7	8160	42841
8	9298	42361
9	10348	41393
10	11791	41807
11	13270	42024
12	14691	41813
13	16265	41826
14	17855	41663
15	19412	41251
16	21005	40775
17	22660	40285
18	24250	39566
19	25797	38696
20	27575	38080
21	29391	37407
22	31166	36587
23	33082	35839
24	34865	34865
25	36654	33835
26	38546	32835
27	40744	32013
28	43005	31142
29	44900	29933
30	47193	28924
31	49596	27898
32	51847	26709
33	53961	25393
34	56063	24027
35	58091	22591
36	60252	21169
37	62292	19671
38	64510	18195
39	66857	16714
40	69832	15328
41	72965	13898
42	76096	12387
43	79324	10816
44	82876	9208
45	86815	7549
46	90225	5759
47	93736	3905
48	97366	1987
49	100975	0
