iter	Accuracy	Logloss
0	0.8335208099	0.6788879136
1	0.8256467942	0.6660236562
2	0.8256467942	0.6552228977
3	0.8177727784	0.6470170275
4	0.8121484814	0.6368038453
5	0.8042744657	0.6276069279
6	0.8042744657	0.6191434141
7	0.8143982002	0.6099993432
8	0.8200224972	0.6010567975
9	0.8143982002	0.5935019282
10	0.8233970754	0.585629198
11	0.822272216	0.579152268
12	0.8233970754	0.5709936996
13	0.8233970754	0.5634638533
14	0.8233970754	0.5565859422
15	0.8245219348	0.5508751215
16	0.8245219348	0.5455211777
17	0.822272216	0.5400551951
18	0.8233970754	0.5341351364
19	0.8245219348	0.5280959435
20	0.8233970754	0.5230143334
21	0.8233970754	0.5188906461
22	0.8245219348	0.5150846689
23	0.8245219348	0.5106763064
24	0.8233970754	0.5054493941
25	0.8233970754	0.5004815034
26	0.8233970754	0.4972341593
27	0.8256467942	0.4944448332
28	0.822272216	0.4903680936
29	0.8245219348	0.4864031745
30	0.8233970754	0.4824987827
31	0.8290213723	0.4786932046
32	0.8290213723	0.4750454479
33	0.8267716535	0.4728960918
34	0.8267716535	0.4707499614
35	0.8267716535	0.4675976094
36	0.8278965129	0.4641378107
37	0.8278965129	0.4616878699
38	0.8278965129	0.4591062228
39	0.8290213723	0.4560792937
40	0.8278965129	0.453530828
41	0.8267716535	0.4516961208
42	0.8312710911	0.4490970133
43	0.8301462317	0.4473772008
44	0.8312710911	0.4449802358
45	0.8301462317	0.4433889578
46	0.8323959505	0.4411106495
47	0.8312710911	0.4394435145
48	0.8312710911	0.4379475335
49	0.8312710911	0.4358446736
50	0.8312710911	0.4347930097
51	0.8323959505	0.4337872954
52	0.8312710911	0.4317621555
53	0.8312710911	0.4303098146
54	0.8312710911	0.4285537529
55	0.8312710911	0.4269672913
56	0.8323959505	0.4254156152
57	0.8323959505	0.4242211619
58	0.8335208099	0.4224474903
59	0.8323959505	0.4220212413
60	0.8312710911	0.4212976565
61	0.8335208099	0.4201560336
62	0.8323959505	0.4187077728
63	0.8323959505	0.4174961309
64	0.8346456693	0.4164095173
65	0.8335208099	0.4152275004
66	0.8346456693	0.4139979116
67	0.8346456693	0.4127769979
68	0.8346456693	0.411695692
69	0.8346456693	0.4104126539
70	0.8346456693	0.4095911211
71	0.8346456693	0.4090489995
72	0.8346456693	0.4079543472
73	0.8346456693	0.4070181719
74	0.8346456693	0.4060099795
75	0.8335208099	0.405031108
76	0.8335208099	0.4036793159
77	0.8357705287	0.4023603178
78	0.8357705287	0.4016690959
79	0.8357705287	0.4004800987
80	0.8368953881	0.3995985698
81	0.8368953881	0.3985090535
82	0.8368953881	0.3973788166
83	0.8368953881	0.3967971451
84	0.8380202475	0.3961397532
85	0.8391451069	0.3955989491
86	0.8391451069	0.3950740017
87	0.8413948256	0.3943208503
88	0.8413948256	0.3935540546
89	0.8402699663	0.3928609615
90	0.8402699663	0.3923255217
91	0.8402699663	0.3920671342
92	0.8402699663	0.3915390928
93	0.8380202475	0.3906367126
94	0.8368953881	0.3901595814
95	0.8380202475	0.3895473784
96	0.8391451069	0.3888756599
97	0.8402699663	0.3884268651
98	0.8402699663	0.3876939483
99	0.8436445444	0.3869374709
