iter	Passed	Remaining
0	1	112
1	1	89
2	2	73
3	2	59
4	3	57
5	3	51
6	3	47
7	3	45
8	4	44
9	4	43
10	5	44
11	5	42
12	6	41
13	6	40
14	6	39
15	7	39
16	7	37
17	8	36
18	8	35
19	8	34
20	9	34
21	9	33
22	9	33
23	10	32
24	10	31
25	11	32
26	11	32
27	12	32
28	13	32
29	13	32
30	14	32
31	15	32
32	16	32
33	17	33
34	17	32
35	18	32
36	18	32
37	19	31
38	20	31
39	21	32
40	22	31
41	22	31
42	23	31
43	24	30
44	24	30
45	25	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	27
53	31	27
54	32	26
55	33	26
56	34	25
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	50	14
78	51	13
79	53	13
80	54	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	70	0
